dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
roman-empire,ResNet,BASE,1,1,512,3e-05,690706,8.025,0.071,521.5
roman-empire,ResNet,ENS_k4,4,1,512,3e-05,2762824,31.693,0.151,553.2
roman-empire,ResNet,TABM_k2,2,1,512,3e-05,693920,18.55,0.126,691.3
roman-empire,ResNet,TABM_k4,4,1,512,3e-05,697664,36.815,0.207,691.4
roman-empire,ResNet,TABM_k8,8,1,512,3e-05,705152,73.422,0.428,691.5
roman-empire,ResNet,BASE,1,2,512,3e-05,1217042,13.329,0.052,728.8
roman-empire,ResNet,ENS_k4,4,2,512,3e-05,4868168,52.807,0.202,784.5
roman-empire,ResNet,TABM_k2,2,2,512,3e-05,1220256,29.1,0.111,899.7
roman-empire,ResNet,TABM_k4,4,2,512,3e-05,1224000,57.948,0.202,899.7
roman-empire,ResNet,TABM_k8,8,2,512,3e-05,1231488,115.658,0.406,899.8
roman-empire,ResNet,BASE,1,3,512,3e-05,1743378,18.631,0.073,936.0
roman-empire,ResNet,ENS_k4,4,3,512,3e-05,6973512,73.944,0.153,1015.8
roman-empire,ResNet,TABM_k2,2,3,512,3e-05,1746592,39.689,0.149,1108.9
roman-empire,ResNet,TABM_k4,4,3,512,3e-05,1750336,79.15,0.275,1109.0
roman-empire,ResNet,TABM_k8,8,3,512,3e-05,1757824,157.838,0.265,1109.1
roman-empire,ResNet,BASE,1,4,512,3e-05,2269714,23.931,0.07,1143.3
roman-empire,ResNet,ENS_k4,4,4,512,3e-05,9078856,95.021,0.129,1247.2
roman-empire,ResNet,TABM_k2,2,4,512,3e-05,2272928,50.24,0.119,1318.2
roman-empire,ResNet,TABM_k4,4,4,512,3e-05,2276672,100.274,0.169,1318.2
roman-empire,ResNet,TABM_k8,8,4,512,3e-05,2284160,200.217,0.375,1318.3
roman-empire,ResNet,BASE,1,5,512,3e-05,2796050,29.317,0.153,1350.5
roman-empire,ResNet,ENS_k4,4,5,512,3e-05,11184200,116.232,0.141,1478.5
roman-empire,ResNet,TABM_k2,2,5,512,3e-05,2799264,61.096,0.423,1527.4
roman-empire,ResNet,TABM_k4,4,5,512,3e-05,2803008,121.671,0.243,1527.5
roman-empire,ResNet,TABM_k8,8,5,512,3e-05,2810496,242.573,0.478,1527.6
roman-empire,GCN,BASE,1,1,512,3e-05,953362,12.408,0.05,634.3
roman-empire,GCN,ENS_k4,4,1,512,3e-05,3813448,49.237,0.128,678.0
roman-empire,GCN,TABM_k2,2,1,512,3e-05,956576,27.318,0.13,740.0
roman-empire,GCN,TABM_k4,4,1,512,3e-05,960320,54.416,0.185,740.0
roman-empire,GCN,TABM_k8,8,1,512,3e-05,967808,108.51,0.361,740.1
roman-empire,GCN,BASE,1,2,512,3e-05,1742354,22.148,0.079,887.3
roman-empire,GCN,ENS_k4,4,2,512,3e-05,6969416,88.09,0.163,967.1
roman-empire,GCN,TABM_k2,2,2,512,3e-05,1745568,46.726,0.098,995.9
roman-empire,GCN,TABM_k4,4,2,512,3e-05,1749312,93.24,0.255,996.0
roman-empire,GCN,TABM_k8,8,2,512,3e-05,1756800,186.259,0.259,996.1
roman-empire,GCN,BASE,1,3,512,3e-05,2531346,31.889,0.071,1140.3
roman-empire,GCN,ENS_k4,4,3,512,3e-05,10125384,126.95,0.36,1256.2
roman-empire,GCN,TABM_k2,2,3,512,3e-05,2534560,66.214,0.151,1251.9
roman-empire,GCN,TABM_k4,4,3,512,3e-05,2538304,132.256,0.463,1252.0
roman-empire,GCN,TABM_k8,8,3,512,3e-05,2545792,263.956,0.523,1252.1
roman-empire,GCN,BASE,1,4,512,3e-05,3320338,41.59,0.029,1393.3
roman-empire,GCN,ENS_k4,4,4,512,3e-05,13281352,165.832,0.503,1545.3
roman-empire,GCN,TABM_k2,2,4,512,3e-05,3323552,85.663,0.141,1507.9
roman-empire,GCN,TABM_k4,4,4,512,3e-05,3327296,171.179,0.277,1508.0
